제품명,가격
AONE STORM 800K 80PLUS BRONZE 벌크,"63,960"
AONE STORM 600W 80PLUS BRONZE,"41,000"
쿨러마스터 MWE Gold 1050 V2 ATX 3.0 (PCIE5),"241,100"
잘만 GigaMax III 750W 80Plus Bronze 모듈러 ATX3.0 (PCIE5),"75,200"
topower TOP-500S 12VSD 벌크,"31,200"
쿨러마스터 PLATINUM V850 FULL MODULAR,"270,410"
GIGABYTE P750GM 80PLUS GOLD 풀모듈러,"89,630"
TAGER JN600W GAMING 벌크,"34,320"
쿨러마스터 GX II Gold 750 ATX 3.0 (PCIE5),"152,100"
topower TOP-600S 12VSD 벌크,"34,840"
쿨러마스터 GX II Gold 850 ATX 3.0 (PCIE5),"165,500"
FSP FSP2000-52AGPBI 80PLUS GOLD 타이안코리아,"477,380"
MSI MPG A850G PCIE5 80PLUS GOLD,"167,000"
GIGABYTE UD850GM PG5 80PLUS GOLD 풀모듈러 ATX 3.0,"135,700"
(AcBEL) CE2 450 /파워,"39,600"
성주컴텍 1600W 파워 이더리움 채굴전용 마이닝 파워 (신품),"209,100"
"마이크로닉스 Classic II 750W 80PLUS GOLD 230V EU 풀모듈러 화이트
12VHPWR 케이블 제공","136,000"
쿨러마스터 GOLD V850 V2 WHITE FULL MODULAR,"170,700"
topower Guardian TOP-900DG 80PLUS STANDARD WHITE,"92,000"
PNC PARTNER EVEREST 600K RGB White,"46,700"
(AONE) 600T KC /파워,"25,530"
topower Guardian TOP-900DG 80PLUS STANDARD,"86,800"
쿨러마스터 GOLD V750 V2 WHITE FULL MODULAR,"151,100"
(AONE) STORM 400LF 더블포워드 V2.3 /파워,"33,350"
쿨러마스터 GOLD V750 V2 BLACK FULL MODULAR,"140,700"
PNC PARTNER EVEREST 600K RGB,"46,310"
FSP Twins PRO 700W ATX Redundant,"637,740"
(AONE) STORM 400LF 더블포워드 V2.3 벌크 /파워,"32,300"
(퍼스트큐브씨앤씨) MAX 500W V2.3 /파워,"29,640"
GIGABYTE UD1000GM 80PLUS GOLD 풀모듈러 ATX 3.0,"200,340"
AONE STORM SFX 300LF,"29,800"
마이크로닉스 Performance ll 125mm 700W 80PLUS GOLD,"99,840"
(Bestone) SK-II M500S 벌크 /파워,"20,800"
(Bestone) SK-II M500S /파워,"22,880"
DARKFLASH SAVEMOST 600W 80PLUS STANDARD,"52,500"
(Bestone) SK-II M500DM V2 벌크 /파워,"26,000"
쿨러마스터 PLATINUM V1300 FULL MODULAR,"393,200"
(ICE-MAN) 500T PLUS V2.2 /파워,"23,520"
(Bestone) SK-II M500DM V2 /파워,"28,080"
커세어 CORSAIR SF850L ATX 3.0 (PCIE5),"234,010"
DARKFLASH SAVEMOST 700W 80PLUS STANDARD,"60,500"
커세어 CORSAIR SF1000L ATX 3.0 (PCIE5),"279,770"
마이크로닉스 ASTRO II PT 1000W 80PLUS PLATINUM 풀모듈러 ATX3.0 (PCIE5),"241,000"
마이크로닉스 ASTRO GD 550W 80PLUS GOLD 풀모듈러,"94,000"
커세어 CORSAIR SF750 80 PLUS Platinum,"245,400"
현대 PRIME 750K PLUS 벌크,"30,160"
"SuperFlower SF-850F14PE LEADEX VI PRO PLATINUM
12VHPWR 케이블 제공","182,000"
마이크로닉스 ASTRO II PT 850W 80PLUS PLATINUM 풀모듈러 ATX3.0 (PCIE5),"203,000"
FSP HYDRO G PRO 850W 80PLUS Gold Full Modular ATX 3.0 (PCIE5),"173,800"
현대 PRIME 850K PLUS 벌크,"34,320"
FSP DAGGER PRO 650W GOLD Full Modular,"163,500"
Natural micro SFX-M450W [벌크],"17,160"
ASUS ROG LOKI SFX-L 1000W Platinum,"417,670"
커세어 CORSAIR RM750x SHIFT 80PLUS Gold ATX 3.0 WHITE,"192,290"
마이크로닉스 COOLMAX FOCUS PRO 600W 80PLUS 230V EU,"48,000"
ASUS ROG LOKI SFX-L 850W Platinum WHITE EDITION,"360,370"
현대파워 PRIME 670K 벌크,"25,480"
PNC PARTNER EVEREST 750W 80PLUS STANDARD 230V EU 벌크,"56,580"
MSI MPG A750GF,"101,920"
델타 GPS-1000EB 80PLUS GOLD,"209,050"
ASUS ROG LOKI SFX-L 850W Platinum,"316,690"
델타 GPS-850LB 80PLUS GOLD,"161,210"
쿨러마스터 MWE 750 BRONZE V2 230V,"72,400"
FSP DAGGER PRO 850W GOLD 화이트 ATX 3.0(12V-2x6),"214,200"
커세어 CORSAIR RM1200x SHIFT 80PLUS Gold ATX 3.0 WHITE,"351,280"
마이크로닉스 ASTRO GD 650W 80PLUS GOLD 풀모듈러 FDB 화이트,"111,000"
GIGABYTE UD850GM 80PLUS GOLD 풀모듈러 피씨디렉트,"127,090"
AONE STORM 700W 80PLUS BRONZE,"55,100"
