제품명,가격
커세어 CORSAIR A115,"141,660"
NOCTUA NH-U9S CPU 쿨러 AM4 소켓지원,"96,720"
조이쿨 JH80CU-2600-115X,"8,990"
SilverStone XE04-4677v,"121,900"
NOCTUA NH-U12S DX-3647,"166,100"
야인컴퓨터 YAIN YC-T180 타워형 공랭쿨러,"15,470"
SilverStone XE04-4189,"110,350"
NOCTUA NH-U12S Chromax.black,"122,300"
DEEPCOOL UD551 ARGB,"19,240"
SilverStone XE02-4677,"107,700"
NOCTUA NH-L9x65,"89,440"
조이쿨 MINI BLACK-92 PWM,"9,880"
마이크로닉스 MA600 펭귄,"29,600"
조이쿨 X600 화이트LED PWM,"24,960"
be quiet PURE ROCK LP,"79,770"
잘만 CNPS9X PERFORMA RGB (SILVER),"27,500"
SilverStone XE02-4189,"80,400"
NOCTUA NH-D9L,"90,480"
마이크로닉스 MA420 스웰로우 ARGB,"22,900"
조이쿨 X600 블랙 PWM,"23,960"
Thermalright Assassin X 120 Refined SE PLUS 서린,"28,200"
조이쿨 X600 BW PWM,"21,630"
Thermalright Phantom Spirit 120 서린,"64,900"
LEADCOOL POONG AC-2100 RAINBOW (화이트),"19,560"
PCCOOLER GI-46U CORONA,"31,720"
MSI MAG 코어리퀴드 240R,"65,870"
쿨컴 I-17X 실버쿨러,"7,840"
Thermalright TA120 EX TR4 서린,"68,800"
PCCOOLER CPS RZ620 (BLACK),"75,700"
ARCTIC Alpine 17 서린,"12,500"
PCCOOLER GI-X4S,"20,180"
MSI MAG 코어리퀴드 360R,"172,510"
쿨컴 I-17X 동판쿨러,"9,930"
커세어 CORSAIR iCUE H150i ELITE RGB WHITE,"263,130"
SilverStone SST-PF360W-ARGB 아이보라,"103,070"
(Phanteks) PH-TC14S /쿨러/튜닝,"69,000"
NZXT KRAKEN Z63,"375,460"
DEEPCOOL AK400 (BLACK),"28,750"
Thermalright Assassin X 120 Refined SE 서린,"24,500"
잘만 CNPS9X PERFORMA (BLACK),"24,700"
Thermalright Assassin X 120 Refined SE ARGB 서린,"28,200"
PCCOOLER GI-CX240 ARGB,"62,710"
잘만 CNPS9X PERFORMA (SILVER),"26,100"
에너맥스 AQUAFUSION ADV 240 ARGB,"90,960"
ASUS ROG STRIX LC II 240 ARGB WHITE 인텍앤컴퍼니,"242,330"
조이쿨 ITX20-1700,"14,980"
DARKFLASH Twister DX-240 V2.6 ARGB (블랙),"83,500"
COUGAR AQUA ARGB 240,"94,640"
DARKFLASH Ellsworth S11 PRO ARGB (블랙),"27,500"
조이쿨 MCJ-1700/1200 구리,"6,990"
NOCTUA NH-D15S Chromax.black,"153,900"
Thermalright FROST SPIRIT 140 WHITE V3 ARGB 서린,"84,800"
