제품명,가격
"Western Digital WD BLUE 5400/256M (WD60EZAX, 6TB)","153,930"
"Western Digital WD RED Pro 7200/512M (WD221KFGX, 22TB)","848,670"
"Toshiba MG04ACA Enterprise 7200/128M (MG04ACA100, 1TB)","135,210"
Toshiba 500GB DT01ACA050 (SATA3/7200/64M),"61,360"
Seagate 16TB IronWolf ST16000VN001 (SATA3/7200/256M),"584,330"
"Western Digital WD RED Plus 7200/512M (WD140EFGX, 14TB)","546,960"
"Western Digital WD RED Pro 7200/256M (WD4003FFBX, 4TB)","241,830"
"Western Digital WD Ultrastar DC HC560 SAS/7200/512M (WUH721818AL5204, 20TB)","760,460"
Seagate 8TB BarraCuda ST8000DM004 (SATA3/5400/256M),"186,340"
"Seagate IronWolf Pro 7200/512M (ST22000NT001, 22TB)","798,480"
[중고] Sebap 8TB Amigos SM1800RS (SATA3/5400/256M/리퍼),"208,010"
[중고] Sebap 6TB Amigos SM1600RS (SATA3/5400/256M/리퍼),"122,720"
"Seagate BarraCuda 7200/256M (ST1000DM014, 1TB)","72,500"
"Seagate SkyHawk AI 7200/256M (ST10000VE001, 10TB)","514,860"
Western Digital WD Ultrastar DC HC570 패키지 7200/512M WUH722222ALE6L4 (22TB),"803,910"
Toshiba 4TB MG04ACA400 Enterprise (SATA3/7200/128M),"195,550"
"Seagate SkyHawk AI 7200/256M (ST12000VE001, 12TB)","572,070"
Western Digital WD Ultrastar DC HC570 패키지 7200/512M WUH722222ALE6L4 (4x22TB),"3,150,460"
(Toshiba) 6TB MG04ACA600 Enterprise SATA3/7200RPM/128M /HDD,"238,170"
"Toshiba N300 7200/512M (HDWG31G, 16TB)","571,720"
Western Digital WD Ultrastar DC HC570 패키지 7200/512M WUH722222ALE6L4 (2x22TB),"1,607,820"
"Toshiba P300 5400/128M (HDWD260, 6TB)","154,450"
"Western Digital WD Ultrastar DC HC570 7200/512M (WUH722222ALE6L4, 22TB)","814,770"
"Toshiba P300 5400/128M (HDWD240, 4TB)","112,240"
Western Digital 4TB Ultrastar DC HC310 HUS726T4TALA6L4 (SATA3/7200/256M),"190,110"
"Seagate IronWolf Pro 7200/256M (ST14000NT001, 14TB)","611,540"
Western Digital 8TB Ultrastar DC HC320 HUS728T8TALE6L4 (SATA3/7200/256M),"315,050"
"Western Digital WD RED Pro 7200/512M (WD201KFGX, 20TB)","789,390"
Western Digital 4TB Ultrastar DC HC310 HUS726T4TAL5204 (SAS/7200/256M),"203,150"
"Western Digital WD RED Plus 5640/128M (WD80EFZZ, 8TB)","307,040"
Western Digital 6TB Ultrastar DC HC310 HUS726T6TAL5204 (SAS/7200/256M),"277,020"
Western Digital 8TB Ultrastar DC HC320 HUS728T8TAL5204 (SAS/7200/256M),"325,910"
Western Digital 10TB Ultrastar DC HC510 HUH721010AL5200 (SAS/7200/256M) [헬륨충전],"571,580"
"Western Digital WD RED Plus 5400/256M (WD60EFPX, 6TB)","251,690"
Western Digital 12TB Ultrastar DC HC520 HUH721212ALE600 (SATA3/7200/256M) [헬륨충전],"434,550"
"Western Digital WD RED Plus 5400/256M (WD40EFPX, 4TB)","163,290"
Western Digital 12TB Ultrastar DC HC520 HUH721212AL5204 (SAS/7200/256M) [헬륨충전],"456,270"
