제품명,가격
PowerColor 라데온 RX 7800 XT Hellhound Spectral White D6 16GB,"761,080"
갤럭시 GALAX 지포스 RTX 4070 EX GAMER BLACK OC D6X 12GB,"858,000"
GIGABYTE 지포스 GTX 1650 UD2 OC V4 D6 4GB 피씨디렉트,"219,000"
GIGABYTE 지포스 RTX 4080 SUPER GAMING OC D6X 16GB 피씨디렉트,"1,652,000"
갤럭시 GALAX 지포스 RTX 3060 V2 D6 12GB,"440,500"
갤럭시 갤라즈 GALAX 지포스 RTX 4080 SG OC D6X 16GB,"1,730,750"
GIGABYTE 지포스 RTX 4080 SUPER AERO OC D6X 16GB 피씨디렉트,"1,712,130"
AMD 라데온 PRO W7700 D6 16GB,"1,626,350"
XFX 라데온 RX 6600 XT QICK 308 BLACK D6 8GB,"416,000"
갤럭시 갤라즈 GALAX 지포스 RTX 3060 D6 8GB,"409,260"
GIGABYTE 지포스 RTX 4080 SUPER WINDFORCE V2 D6X 16GB 제이씨현,"1,595,400"
GIGABYTE 지포스 RTX 4070 WINDFORCE OC D6X 12GB 제이씨현,"793,400"
갤럭시 갤라즈 GALAX 지포스 GTX 1630 EX BLACK OC D6 4GB,"173,700"
GIGABYTE 지포스 RTX 4080 SUPER GAMING OC D6X 16GB 제이씨현,"1,648,400"
Biostar ARC A750 OC D6 8GB,"280,610"
ASUS KO 지포스 RTX 3060 O12G GAMING OC D6 12GB,"555,260"
갤럭시 BOY 지포스 RTX 4070 2X D6X 12GB,"808,000"
AFOX 지포스 GTX 1650 H3 D6 4GB DUAL 디앤디컴,"194,490"
GIGABYTE AORUS 지포스 RTX 4070 Master D6X 12GB 제이씨현,"935,400"
ASUS ProArt 지포스 RTX 4080 SUPER O16G OC D6X 16GB,"1,799,200"
ASUS TUF Gaming 지포스 RTX 4080 SUPER O16G OC D6X 16GB,"1,811,630"
Colorful iGAME 지포스 RTX 4070 Ti Advanced OC D6X 12GB,"1,152,960"
SPARKLE Arc A750 ORC OC D6 8GB,"337,320"
ASUS TUF Gaming 지포스 RTX 4080 SUPER D6X 16GB,"1,820,000"
TAGER 지포스 GTX 1660 TI K D6 6GB,"269,690"
ASUS ROG STRIX 지포스 RTX 4080 SUPER O16G GAMING OC D6X 16GB White,"2,059,200"
ZOTAC GAMING 지포스 RTX 3050 D6 6GB LP,"272,400"
GIGABYTE 지포스 RTX 4070 EAGLE OC D6X 12GB 피씨디렉트,"867,000"
GIGABYTE 지포스 RTX 4070 Ti AERO OC V2 D6X 12GB 피씨디렉트,"1,215,700"
갤럭시 BOY 지포스 GT1030 EXOC WHITE D5 2GB LP,"99,850"
ASUS ROG STRIX 지포스 RTX 4080 SUPER O16G GAMING OC D6X 16GB,"2,055,000"
PowerColor 라데온 RX 7800 XT Hellhound Sakura Limited Edition D6 16GB 대원씨티에스,"800,000"
GIGABYTE 지포스 RTX 4060 Ti WINDFORCE OC D6 8GB 피씨디렉트,"531,300"
