제품명,가격
ASRock Z790 Pro RS D5 + WiFi6E 모듈 패키지 에즈윈,"344,830"
ASUS PRIME H610M-E 코잇,"126,200"
ASUS PRIME H610M-E 인텍앤컴퍼니,"130,120"
ASUS ROG STRIX B760-A GAMING WIFI D4 코잇,"313,000"
ASRock B650 LiveMixer 대원씨티에스,"308,800"
ASUS ROG STRIX B760-I GAMING WIFI 코잇,"345,500"
ASUS PRIME B650M-A WIFI II STCOM,"210,000"
ASRock A620M-HDV/M.2+ + WiFi6E 모듈 패키지 에즈윈,"152,500"
ASRock X570S PG Riptide 디앤디컴,"245,560"
ASUS ROG STRIX Z790-E GAMING WIFI 코잇,"672,500"
MSI H510M-A PRO,"94,780"
ASUS EX-B250-V7 채굴보드 셋트 6WAY [ G3900 + DDR4 4G + 전원 스위치 포함] (중고),"257,320"
ASRock Rack EPC621D8A,"720,540"
ASUS PRIME H610I-PLUS STCOM,"188,250"
GIGABYTE B650 AORUS ELITE AX ICE 제이씨현,"307,700"
컬러풀 H81-BTC 채굴보드 셋트 6WAY [ G18xx~32xx (랜덤) + DDR4 4G + 전원 스위치 포함](중고),"289,000"
ASRock H610M-HDV/M.2+ D5 에즈윈 (벌크),"101,900"
NZXT N7 Z790 Matte Black,"438,500"
ASRock H610M-HDV/M.2+ D5 에즈윈,"105,800"
ASUS ROG STRIX Z790-A GAMING WIFI II STCOM,"494,440"
ASRock W790 WS 에즈윈,"1,325,000"
ASUS ROG MAXIMUS Z790 FORMULA STCOM,"1,075,400"
GIGABYTE H610M S2H V2 D4 듀러블에디션 피씨디렉트,"112,800"
ASUS PRO WS W680-ACE IPMI STCOM,"615,540"
ASUS PRIME H770-PLUS 인텍앤컴퍼니,"243,300"
ASUS ROG MAXIMUS Z790 DARK HERO STCOM,"952,670"
GIGABYTE Z490 GAMING X 게이밍에디션 피씨디렉트,"254,870"
ASUS ROG STRIX B650-A GAMING WIFI 대원씨티에스,"349,700"
ASUS ROG STRIX Z790-I GAMING WIFI 인텍앤컴퍼니,"663,920"
ASUS PRIME H610M-CS D4 코잇,"89,000"
MSI PRO B760M-A DDR4 II,"152,000"
ASUS ROG MAXIMUS Z790 APEX ENCORE STCOM,"1,037,330"
[중고] 옵티머스 B250-BTC 채굴보드 셋트 12WAY [ G18xx~32xx (랜덤) + DDR4 4G + 전원 스위치 포함],"213,250"
ASUS TUF GAMING B650M-PLUS WIFI 대원씨티에스,"276,300"
ASUS ROG STRIX B650E-I GAMING WIFI STCOM,"435,100"
ASUS P12R-M-10G-2T STCOM,"531,140"
GIGABYTE Z490M 듀러블에디션 피씨디렉트,"211,210"
ASUS ROG CROSSHAIR X670E HERO STCOM,"990,010"
ASUS TUF GAMING B650M-PLUS 대원씨티에스,"255,280"
MSI PRO H610M-E DDR4,"85,000"
ASUS TUF Gaming Z790-PLUS WIFI 인텍앤컴퍼니,"417,910"
ASRock A520M-HDV 대원씨티에스,"74,310"
ASRock B650M Pro RS + WiFi6E 모듈 패키지 디앤디컴,"211,000"
ASRock A520M-HDV 에즈윈 (벌크),"75,000"
ASUS ROG MAXIMUS XIII EXTREME GLACIAL 인텍앤컴퍼니,"788,230"
ASUS ROG MAXIMUS Z690 EXTREME GLACIAL STCOM,"2,936,400"
ASUS PRIME X670-P-CSM STCOM,"419,980"
ASRock A520M-HDV 대원씨티에스 (벌크),"73,500"
MSI MAG X670E 토마호크 WIFI,"406,600"
ASUS PRIME H510M-K 인텍앤컴퍼니,"94,700"
GIGABYTE X670 AORUS ELITE AX 피씨디렉트,"367,300"
ASRock W790 WS 디앤디컴,"1,296,000"
GIGABYTE B650M S2H 피씨디렉트,"133,910"
ASRock A520M-HDVP R2.0 에즈윈 (벌크),"80,800"
GIGABYTE Z790 AORUS ELITE AX-W 피씨디렉트,"387,000"
GIGABYTE B650M S2H 제이씨현,"130,730"
GIGABYTE A620M GAMING X 제이씨현,"169,470"
ASUS PRIME A620M-K 대원씨티에스,"115,900"
ASRock H610M-H2/M.2 D5 에즈윈 (벌크),"100,870"
GIGABYTE B760M E 피씨디렉트,"123,100"
ASUS TUF Gaming B650M-E 대원씨티에스,"203,500"
ASUS PRIME B550M-K 대원씨티에스 (벌크),"106,620"
GIGABYTE B650M AORUS ELITE 제이씨현,"240,860"
GIGABYTE Z790 AORUS ELITE AX 피씨디렉트,"381,980"
ASUS ROG STRIX Z790-A GAMING WIFI 코잇,"497,700"
ASRock B760 Pro RS D5 + WiFi6E 모듈 패키지 디앤디컴,"253,000"
ASUS TUF Gaming B760M-PLUS WIFI 인텍앤컴퍼니,"221,010"
ASRock B760M-HDV/M.2 D5 + WiFi6E 모듈 패키지 디앤디컴,"164,500"
ASUS TUF Gaming B760M-PLUS 인텍앤컴퍼니,"193,980"
ASUS PRIME Z790M-PLUS-CSM 코잇,"298,000"
GIGABYTE Z790 AORUS ELITE AX ICE 제이씨현,"377,770"
ASUS PRO WS TRX50-SAGE WiFi STCOM,"1,295,930"
ASUS TUF Gaming B550M-PLUS STCOM,"147,610"
MSI PRO H610M-C EX,"109,000"
ASUS PRIME B760M-A 인텍앤컴퍼니,"163,500"
